French,English
partie,part
histoire,history
chercher,seek
seulement,only
police,police
pensais,thought
aide,aid
demande,asked
genre,gender
mois,month
fr̬re,dear
laisser,let
car,because
mettre,put
aucun,none
laisse,leave alone
eux,them
ville,city
chaque,each
parl̩,spoke
arriv̩,arrived
devrait,should
b̩b̩,dodged
longtemps,a long time
heures,hours
vont,are going
pendant,during
revoir,see again
aucune,none
place,place
parle,speak
compris,Understood
savais,knew
̩taient,Were
attention,attention
voici,here is
pourrais,could
affaire,affair
donner,give
type,kind
leurs,their
donn̩,given
train,train
corps,body
endroit,place
yeux,eyes
fa̤on,way
̩coute,Loss
dont,of which
trouve,find
premier,first
perdu,lost
main,hand
premi̬re,first
c̫t̩,stored
pouvoir,power
vieux,old
sois,be
tiens,take
matin,Morning
tellement,such
enfant,child
point,point
venu,came
suite,following
pardon,pardon
venez,come
devant,before
vers,towards
minutes,minutes
demand̩,requested
chambre,bedroom
mis,put
belle,beautiful
droit,right
aimerais,would like to
aujourd'hui,Today
mari,husband
cause,cause
enfin,Finally
esp̬re,spite
eau,water
attendez,wait
parti,left
nouvelle,new
boulot,gig
arr̻ter,stop
dirait,would say
terre,earth
compte,account
donne,given
loin,far
fin,END
croire,believe
ch̩rie,shit
gros,fat
plut̫t,rather
aura,will have
filles,girls
jouer,play
bureau,desk
